segment_id,street_name,side,latitude,longitude,regulation_type,time_restrictions,max_stay_minutes,hourly_rate,vehicle_types,seasonal
CURB_SEG_00017,Street_17,left,40.58300628022392,-74.00544739035534,commercial,24/7,9999,5,passenger,0
CURB_SEG_00018,Street_18,right,40.72230937954852,-74.00664776467467,meter,9am-9pm,30,4,motorcycle,0
CURB_SEG_00019,Street_19,right,40.71546968249387,-73.97533170231901,meter,none,480,0,truck,0
CURB_SEG_00020,Street_20,right,40.74295341367757,-73.94117801266036,meter,8am-6pm,480,6,truck,0
CURB_SEG_00021,Street_21,left,40.83158148537491,-74.0605714764643,no_parking,none,480,2,commercial,0
CURB_SEG_00022,Street_22,left,40.71333701257411,-73.86879567207049,residential,9am-9pm,60,3,passenger,0
CURB_SEG_00023,Street_23,right,40.619753734416946,-74.06201004995832,parking,weekends,240,3,truck,0
CURB_SEG_00024,Street_24,left,40.78292143592433,-73.87366048159244,loading_zone,9am-9pm,120,2,commercial,1
CURB_SEG_00025,Street_25,left,40.840947848881406,-73.92720577091978,handicapped,weekends,480,4,handicapped,0
CURB_SEG_00026,Street_26,right,40.85201147280787,-74.13756701287312,handicapped,weekends,120,5,motorcycle,0
CURB_SEG_00027,Street_27,left,40.6347888575519,-74.06282994097565,meter,24/7,120,5,handicapped,0
CURB_SEG_00028,Street_28,left,40.724866608367456,-74.07223724884763,handicapped,8am-6pm,480,5,commercial,0
CURB_SEG_00029,Street_29,right,40.59538003512102,-73.91912236613607,commercial,8am-6pm,60,0,truck,0
CURB_SEG_00030,Street_30,left,40.859633356626205,-73.90581203126578,parking,24/7,60,5,all,0
CURB_SEG_00031,Street_31,right,40.57957610620928,-73.93447535613318,time_limited,24/7,480,5,handicapped,0
CURB_SEG_00032,Street_32,right,40.78401290981862,-74.02583004287796,meter,24/7,480,6,motorcycle,0
CURB_SEG_00033,Street_33,left,40.598107794436125,-73.99396773841372,commercial,9am-9pm,60,2,handicapped,0
CURB_SEG_00034,Street_34,right,40.62681075905964,-74.07483855284158,meter,none,60,2,all,0
CURB_SEG_00035,Street_35,right,40.571983810391224,-74.02896122733488,no_parking,9am-9pm,60,5,motorcycle,0
CURB_SEG_00036,Street_36,left,40.84675733293933,-73.96727959230469,no_parking,weekdays,120,4,truck,0
CURB_SEG_00037,Street_37,left,40.69155428925862,-73.95966610811992,residential,weekends,120,4,commercial,0
CURB_SEG_00038,Street_38,left,40.83726785885094,-73.99810420099327,no_parking,24/7,120,6,motorcycle,1
CURB_SEG_00039,Street_39,right,40.586868800921856,-73.91826964217628,commercial,weekdays,60,4,handicapped,0
CURB_SEG_00040,Street_40,left,40.74264473486397,-74.0419340561142,time_limited,8am-6pm,30,4,commercial,0
CURB_SEG_00041,Street_41,right,40.655430677496696,-73.99405252157021,handicapped,none,30,5,commercial,0
CURB_SEG_00042,Street_42,left,40.63305102847964,-73.89591817823087,handicapped,weekdays,480,3,handicapped,0
CURB_SEG_00043,Street_43,left,40.65209769442301,-73.92618746008718,no_parking,weekends,9999,4,commercial,0
CURB_SEG_00044,Street_44,right,40.59003452566692,-73.91352697534138,parking,none,9999,1,passenger,1
CURB_SEG_00045,Street_45,left,40.73648867720004,-74.14879480664013,handicapped,weekends,9999,1,handicapped,0
CURB_SEG_00046,Street_46,right,40.59039606303103,-73.86407976187783,meter,weekends,60,0,handicapped,0
CURB_SEG_00047,Street_47,left,40.620186138993525,-73.88166132523023,commercial,9am-9pm,60,5,all,0
CURB_SEG_00048,Street_48,left,40.56786141465365,-73.95684856214713,commercial,8am-6pm,9999,1,commercial,0
CURB_SEG_00049,Street_49,left,40.641420572027144,-73.91043945216686,meter,8am-6pm,30,0,passenger,0
CURB_SEG_00050,Street_50,right,40.82888471669482,-73.87752204273806,handicapped,9am-9pm,480,3,truck,0
CURB_SEG_00051,Street_51,left,40.61128696428421,-73.94657587507854,no_parking,24/7,120,1,commercial,0
CURB_SEG_00052,Street_52,right,40.7435185921484,-73.96281273562036,no_parking,weekdays,30,2,commercial,0
CURB_SEG_00053,Street_53,right,40.643075018392594,-73.9641226478537,no_parking,none,9999,3,motorcycle,0
CURB_SEG_00054,Street_54,right,40.71726544854258,-73.89041563206419,commercial,weekdays,30,5,all,0
CURB_SEG_00055,Street_55,left,40.84333302667596,-73.88580796392206,handicapped,weekends,30,6,truck,1
CURB_SEG_00056,Street_56,right,40.65883355529743,-74.15066855250224,loading_zone,weekends,60,6,handicapped,0
CURB_SEG_00057,Street_57,right,40.736211813455746,-73.88302429404175,parking,9am-9pm,9999,4,commercial,0
CURB_SEG_00058,Street_58,right,40.699525937588874,-74.0745736735014,commercial,none,120,3,all,0
CURB_SEG_00059,Street_59,right,40.60758792390826,-73.88407763132595,parking,weekends,9999,5,handicapped,0
CURB_SEG_00060,Street_60,left,40.67660837111313,-73.99646722224657,loading_zone,9am-9pm,9999,6,passenger,0
CURB_SEG_00061,Street_61,right,40.72128489784278,-73.92235278541159,time_limited,24/7,120,3,all,0
CURB_SEG_00062,Street_62,left,40.712006998006096,-73.91657226658067,parking,9am-9pm,120,6,passenger,0
CURB_SEG_00063,Street_63,right,40.566056856949686,-74.0100024041391,commercial,weekdays,120,3,commercial,0
CURB_SEG_00064,Street_64,left,40.83831467709978,-73.95831776556487,time_limited,24/7,240,6,commercial,0
CURB_SEG_00065,Street_65,left,40.81303379441911,-74.12706048844129,commercial,none,9999,2,motorcycle,0
CURB_SEG_00066,Street_66,right,40.807765092359325,-74.15202557751468,parking,24/7,480,4,truck,0
CURB_SEG_00067,Street_67,left,40.59834377388052,-73.91458712699695,loading_zone,weekends,120,3,passenger,0
CURB_SEG_00068,Street_68,right,40.70609223550696,-73.8740492384794,residential,8am-6pm,120,2,handicapped,0
CURB_SEG_00069,Street_69,left,40.59091468809441,-74.15227609567395,meter,8am-6pm,9999,2,commercial,0
CURB_SEG_00070,Street_70,left,40.80853539531338,-74.10634724518823,time_limited,weekdays,480,4,motorcycle,0
CURB_SEG_00071,Street_71,right,40.67338097420778,-73.85790722687193,no_parking,weekdays,60,3,commercial,1
CURB_SEG_00072,Street_72,right,40.83841745070712,-73.87467938233404,no_parking,8am-6pm,30,4,all,0
CURB_SEG_00073,Street_73,right,40.67190794292982,-73.86771526608229,residential,9am-9pm,240,3,handicapped,0
CURB_SEG_00074,Street_74,right,40.62914640061993,-73.91746410282877,commercial,24/7,240,4,motorcycle,0
CURB_SEG_00075,Street_75,left,40.57399470362349,-74.0630875663537,commercial,weekends,240,2,commercial,0
CURB_SEG_00076,Street_76,right,40.7813219171381,-73.97434355946959,meter,weekends,30,0,motorcycle,0
CURB_SEG_00077,Street_77,right,40.63895753852124,-74.11396944784069,commercial,weekends,480,6,all,0
CURB_SEG_00078,Street_78,right,40.85552358610236,-74.0720924894718,no_parking,none,60,3,motorcycle,0
CURB_SEG_00079,Street_79,left,40.7558314823038,-73.8668485895219,parking,weekends,60,6,truck,0
CURB_SEG_00080,Street_80,right,40.59363771911015,-73.87388020645409,time_limited,weekends,480,4,all,0
CURB_SEG_00081,Street_81,right,40.661752886765846,-74.04385253855791,loading_zone,none,120,4,motorcycle,1
CURB_SEG_00082,Street_82,right,40.56613705266797,-73.87483578527107,handicapped,8am-6pm,240,6,handicapped,0
CURB_SEG_00083,Street_83,right,40.78583419168668,-74.11430894305789,loading_zone,none,240,5,motorcycle,1
CURB_SEG_00084,Street_84,left,40.6266679648583,-74.12028137761169,time_limited,none,240,1,truck,0
CURB_SEG_00085,Street_85,left,40.68864890695363,-74.1067658880229,parking,9am-9pm,120,2,commercial,0
CURB_SEG_00086,Street_86,left,40.630653550967175,-73.88987233408471,handicapped,none,120,5,truck,0
CURB_SEG_00087,Street_87,right,40.77274450275399,-73.94566355788311,parking,weekends,30,4,motorcycle,0
CURB_SEG_00088,Street_88,right,40.60282448592788,-73.88790416998779,loading_zone,24/7,60,6,commercial,0
CURB_SEG_00089,Street_89,left,40.62235019791666,-74.01119520920422,no_parking,9am-9pm,30,0,truck,0
CURB_SEG_00090,Street_90,right,40.63244416172331,-73.86039590391306,parking,8am-6pm,30,4,motorcycle,0
CURB_SEG_00091,Street_91,right,40.77184908749074,-73.94992277406969,residential,weekends,9999,1,motorcycle,0
CURB_SEG_00092,Street_92,right,40.7223295688004,-73.93609012788303,residential,none,240,2,passenger,0
CURB_SEG_00093,Street_93,right,40.58621413781423,-74.13919926345467,commercial,none,30,6,all,0
CURB_SEG_00094,Street_94,left,40.806105987776284,-74.0486198607287,handicapped,9am-9pm,60,3,handicapped,0
CURB_SEG_00095,Street_95,left,40.8007227806797,-73.86320401609642,handicapped,9am-9pm,60,1,passenger,0
CURB_SEG_00096,Street_96,left,40.666854164923905,-74.1015784632662,commercial,weekdays,9999,1,handicapped,0
CURB_SEG_00097,Street_97,right,40.59330547427122,-74.04949815437803,meter,weekends,480,5,truck,0
CURB_SEG_00098,Street_98,left,40.60667998732198,-74.14383645491304,residential,8am-6pm,240,5,handicapped,0
CURB_SEG_00099,Street_99,right,40.825603897433986,-73.87633685747969,meter,9am-9pm,30,4,motorcycle,0
CURB_SEG_00100,Street_0,left,40.570650944332904,-74.00937632039144,parking,9am-9pm,120,5,passenger,0
CURB_SEG_00101,Street_1,left,40.85541924894675,-74.09339568949646,meter,8am-6pm,30,0,all,0
CURB_SEG_00102,Street_2,left,40.61105207197173,-74.12431626422175,loading_zone,9am-9pm,480,4,truck,0
CURB_SEG_00103,Street_3,right,40.80094637806418,-73.9148518567161,no_parking,weekends,120,4,commercial,0
CURB_SEG_00104,Street_4,left,40.803424002348585,-74.02405819375065,time_limited,weekdays,120,3,handicapped,0
CURB_SEG_00105,Street_5,right,40.65089843807399,-73.89981798074737,loading_zone,weekends,9999,2,truck,0
CURB_SEG_00106,Street_6,left,40.764170233916495,-73.9109283823787,handicapped,24/7,30,5,passenger,0
CURB_SEG_00107,Street_7,right,40.837080057533846,-74.14223218700666,time_limited,none,120,5,motorcycle,0
CURB_SEG_00108,Street_8,left,40.78154702489932,-73.92797340415964,meter,weekends,60,3,all,0
CURB_SEG_00109,Street_9,right,40.82212052806228,-74.11847681110169,meter,none,9999,5,handicapped,0
CURB_SEG_00110,Street_10,left,40.66566027338511,-74.02193198482608,time_limited,9am-9pm,9999,4,motorcycle,0
CURB_SEG_00111,Street_11,right,40.63564638423506,-74.0510476978129,loading_zone,8am-6pm,60,1,truck,1
CURB_SEG_00112,Street_12,left,40.736791705876,-73.98585475161241,meter,weekdays,60,6,all,0
CURB_SEG_00113,Street_13,left,40.7435631361726,-73.98463987149815,loading_zone,8am-6pm,30,1,commercial,0
CURB_SEG_00114,Street_14,right,40.68574808893219,-74.022051590529,handicapped,24/7,30,0,commercial,0
CURB_SEG_00115,Street_15,left,40.758968458332895,-74.06107763747764,loading_zone,none,30,5,commercial,0
CURB_SEG_00116,Street_16,right,40.56508612507963,-74.13655304050059,meter,9am-9pm,480,0,all,0
CURB_SEG_00117,Street_17,left,40.725334551608974,-74.12839183144538,parking,none,480,4,truck,0
CURB_SEG_00118,Street_18,right,40.57279527925097,-73.99161706521451,no_parking,24/7,60,2,motorcycle,0
CURB_SEG_00119,Street_19,left,40.592429539398786,-73.98071640755953,time_limited,weekends,30,2,commercial,0
CURB_SEG_00120,Street_20,right,40.58222962087262,-73.9378219871353,parking,8am-6pm,9999,3,motorcycle,0
CURB_SEG_00121,Street_21,left,40.72356687190145,-73.96309082833916,no_parking,24/7,60,1,passenger,0
CURB_SEG_00122,Street_22,right,40.738712238782,-74.02101127509518,commercial,none,9999,5,truck,0
CURB_SEG_00123,Street_23,right,40.67587823308144,-73.89522754467762,residential,24/7,480,1,handicapped,0
CURB_SEG_00124,Street_24,right,40.830948721094494,-74.13931675774944,parking,8am-6pm,9999,5,motorcycle,0
CURB_SEG_00125,Street_25,right,40.85601087648319,-74.02090100956092,handicapped,8am-6pm,480,1,motorcycle,0
CURB_SEG_00126,Street_26,right,40.8050679600451,-73.9551783641501,meter,8am-6pm,9999,1,truck,0
CURB_SEG_00127,Street_27,left,40.742991129108546,-73.92176790864637,no_parking,weekends,120,4,truck,0
CURB_SEG_00128,Street_28,left,40.72949001769676,-74.09682660455259,meter,24/7,240,2,passenger,0
CURB_SEG_00129,Street_29,left,40.63067861395714,-74.1065487101197,meter,none,60,6,motorcycle,0
CURB_SEG_00130,Street_30,left,40.79084441043871,-74.10881961261691,meter,8am-6pm,9999,6,handicapped,0
CURB_SEG_00131,Street_31,right,40.59543241108179,-73.90676497620655,meter,9am-9pm,240,1,commercial,0
CURB_SEG_00132,Street_32,left,40.752427363542516,-73.89646789277603,handicapped,weekdays,120,6,truck,0
CURB_SEG_00133,Street_33,left,40.59693042387135,-74.1096484062072,no_parking,24/7,9999,3,commercial,0
CURB_SEG_00134,Street_34,left,40.82397337665209,-74.08952518867383,meter,24/7,120,3,motorcycle,0
CURB_SEG_00135,Street_35,right,40.65332995562978,-74.09455871725201,handicapped,9am-9pm,240,4,passenger,0
CURB_SEG_00136,Street_36,right,40.59095267863552,-74.0349566504201,time_limited,weekdays,120,0,passenger,0
CURB_SEG_00137,Street_37,right,40.672874352261324,-74.12185678583755,commercial,weekends,30,1,motorcycle,0
CURB_SEG_00138,Street_38,left,40.792424788698746,-74.09688412796993,time_limited,9am-9pm,240,0,passenger,0
CURB_SEG_00139,Street_39,right,40.56971978109086,-74.04050519879952,handicapped,9am-9pm,120,6,handicapped,0
CURB_SEG_00140,Street_40,left,40.56824219358843,-74.0108325289256,meter,none,120,1,truck,0
CURB_SEG_00141,Street_41,right,40.816833926626764,-73.90393804013993,residential,9am-9pm,9999,2,passenger,0
CURB_SEG_00142,Street_42,right,40.601324104088434,-74.05574186975609,handicapped,weekends,240,6,passenger,0
CURB_SEG_00143,Street_43,right,40.8524793231011,-74.11597989278621,no_parking,9am-9pm,240,2,truck,0
CURB_SEG_00144,Street_44,left,40.669526909330386,-74.03836136029543,time_limited,8am-6pm,9999,6,commercial,0
CURB_SEG_00145,Street_45,right,40.63652627028906,-74.04418574529235,parking,24/7,120,5,all,0
CURB_SEG_00146,Street_46,left,40.78481652274302,-73.91737287412059,no_parking,none,120,2,truck,0
CURB_SEG_00147,Street_47,right,40.85214063527897,-73.93798785306785,commercial,24/7,120,2,truck,0
CURB_SEG_00148,Street_48,left,40.85323387847968,-74.0005934253651,no_parking,9am-9pm,60,0,all,0
CURB_SEG_00149,Street_49,left,40.771331627179855,-74.09322391090689,residential,8am-6pm,60,5,motorcycle,0
CURB_SEG_00150,Street_50,right,40.62919221113572,-73.96430283832785,meter,none,120,1,passenger,0
CURB_SEG_00151,Street_51,left,40.8465708573157,-74.10432447522791,parking,9am-9pm,480,2,handicapped,0
CURB_SEG_00152,Street_52,left,40.70334558685261,-74.0754195502601,no_parking,9am-9pm,480,1,handicapped,0
CURB_SEG_00153,Street_53,right,40.562951949965154,-73.87490898336351,parking,8am-6pm,60,4,handicapped,0
CURB_SEG_00154,Street_54,left,40.740114969353755,-73.97446679703319,no_parking,weekends,60,6,commercial,0
CURB_SEG_00155,Street_55,left,40.772628916780995,-73.8772056496082,no_parking,weekdays,240,2,commercial,0
CURB_SEG_00156,Street_56,left,40.74943412969703,-74.04533172418593,no_parking,8am-6pm,30,1,passenger,0
CURB_SEG_00157,Street_57,left,40.84484101922761,-74.13394864424619,commercial,weekdays,480,0,passenger,0
CURB_SEG_00158,Street_58,left,40.567780166142995,-73.90309240498671,parking,9am-9pm,120,2,handicapped,0
CURB_SEG_00159,Street_59,right,40.57262269471896,-74.12858541599657,commercial,weekdays,120,0,truck,0
CURB_SEG_00160,Street_60,right,40.78299810608298,-73.86692684502225,parking,9am-9pm,240,4,handicapped,0
CURB_SEG_00161,Street_61,right,40.76410009174993,-74.14277859788407,commercial,24/7,480,4,truck,0
CURB_SEG_00162,Street_62,left,40.61668493974881,-74.12341177984294,commercial,8am-6pm,60,5,all,0
CURB_SEG_00163,Street_63,left,40.75844889829694,-73.90448700848862,commercial,24/7,120,1,commercial,0
CURB_SEG_00164,Street_64,left,40.722877155769595,-73.93282798051713,commercial,24/7,30,1,commercial,0
CURB_SEG_00165,Street_65,left,40.84544735914682,-74.04297943952156,loading_zone,weekdays,240,3,passenger,0
CURB_SEG_00166,Street_66,left,40.71419773895252,-74.10111823384393,time_limited,none,480,1,all,0
CURB_SEG_00167,Street_67,left,40.837708361986664,-74.03418670132001,no_parking,weekdays,120,1,all,0
CURB_SEG_00168,Street_68,left,40.64673921148278,-74.09878856593527,residential,none,30,4,passenger,1
CURB_SEG_00169,Street_69,right,40.84255621460645,-74.06427276585339,commercial,8am-6pm,9999,4,handicapped,0
CURB_SEG_00170,Street_70,right,40.713508902076505,-74.14141327139625,time_limited,8am-6pm,240,4,handicapped,0
CURB_SEG_00171,Street_71,right,40.781904896261615,-74.0487103249676,parking,24/7,480,0,all,0
CURB_SEG_00172,Street_72,right,40.60285533845377,-73.91393038725096,no_parking,8am-6pm,9999,6,commercial,0
CURB_SEG_00173,Street_73,left,40.72920445185626,-74.03782743947706,no_parking,none,30,1,handicapped,0
CURB_SEG_00174,Street_74,left,40.83471672073965,-74.09893123126177,parking,24/7,480,4,commercial,0
CURB_SEG_00175,Street_75,left,40.85444940101482,-73.93109287236875,commercial,weekends,30,3,truck,0
CURB_SEG_00176,Street_76,right,40.78128867706733,-73.94997869222146,residential,weekdays,120,2,passenger,0
CURB_SEG_00177,Street_77,left,40.6223512199418,-74.13992257343568,commercial,weekends,120,0,handicapped,0
CURB_SEG_00178,Street_78,left,40.83207325582999,-74.0593153635792,meter,weekdays,240,3,truck,0
CURB_SEG_00179,Street_79,left,40.57073461826905,-74.0646850702049,loading_zone,8am-6pm,30,3,all,0
CURB_SEG_00180,Street_80,left,40.809177506719585,-74.10837955871223,parking,none,30,2,all,0
CURB_SEG_00181,Street_81,left,40.812796651568604,-74.1220843532374,loading_zone,weekends,9999,1,handicapped,0
CURB_SEG_00182,Street_82,right,40.582623325284175,-74.07588967299702,time_limited,weekends,9999,1,passenger,0
CURB_SEG_00183,Street_83,left,40.82748921346578,-73.93166906627305,handicapped,none,30,3,all,0
CURB_SEG_00184,Street_84,left,40.56957316220114,-74.09076843577553,residential,9am-9pm,30,1,commercial,0
CURB_SEG_00185,Street_85,right,40.84742753107267,-73.90446109606617,loading_zone,weekends,120,0,all,0
CURB_SEG_00186,Street_86,right,40.597239426774536,-74.09120801868498,parking,weekends,120,1,truck,0
CURB_SEG_00187,Street_87,right,40.762160645271074,-74.05385776724178,residential,8am-6pm,30,1,handicapped,0
CURB_SEG_00188,Street_88,right,40.86047121318839,-74.0692166078153,handicapped,none,480,6,passenger,1
CURB_SEG_00189,Street_89,left,40.79368521194792,-73.91100408345977,commercial,weekends,480,5,all,0
CURB_SEG_00190,Street_90,left,40.67779386008112,-74.10410647711021,commercial,24/7,240,5,all,0
CURB_SEG_00191,Street_91,left,40.587685263271894,-74.05669257457265,loading_zone,9am-9pm,480,4,truck,0
CURB_SEG_00192,Street_92,right,40.70255708670407,-73.99762617257895,commercial,weekdays,240,3,truck,0
CURB_SEG_00193,Street_93,left,40.67059244611634,-73.91045030295203,residential,weekends,120,5,truck,0
CURB_SEG_00194,Street_94,right,40.63936434549898,-73.92659261023901,time_limited,weekends,30,6,handicapped,0
CURB_SEG_00195,Street_95,left,40.71263018868787,-74.11932548031815,time_limited,9am-9pm,60,2,all,0
CURB_SEG_00196,Street_96,right,40.73571961034439,-73.89839705904461,commercial,9am-9pm,480,0,handicapped,0
CURB_SEG_00197,Street_97,right,40.6175826546814,-74.1517895732182,residential,weekdays,60,4,all,0
CURB_SEG_00198,Street_98,right,40.742398472571516,-74.05455447406264,parking,9am-9pm,9999,4,motorcycle,0
CURB_SEG_00199,Street_99,right,40.73142582532186,-73.90184529339436,no_parking,weekdays,30,5,passenger,0
CURB_SEG_00200,Street_0,left,40.719238326948386,-74.09790000330709,parking,weekends,480,4,all,0
CURB_SEG_00201,Street_1,left,40.83640063522968,-74.11826433052987,residential,weekends,240,0,truck,0
CURB_SEG_00202,Street_2,left,40.70557156571695,-74.04340605129262,no_parking,weekdays,9999,0,truck,0
CURB_SEG_00203,Street_3,right,40.62908443516341,-73.88974365728525,parking,8am-6pm,240,5,all,0
CURB_SEG_00204,Street_4,right,40.71455848868136,-74.00288338876894,no_parking,8am-6pm,240,5,passenger,0
CURB_SEG_00205,Street_5,left,40.852359101975736,-74.06048708722174,no_parking,weekdays,240,2,motorcycle,0
CURB_SEG_00206,Street_6,right,40.6792333572268,-74.08388315125462,time_limited,weekends,240,4,all,0
CURB_SEG_00207,Street_7,right,40.84107680629021,-73.98945264819733,parking,weekdays,480,2,all,0
CURB_SEG_00208,Street_8,left,40.823925965157954,-73.87080424731361,parking,weekends,9999,0,truck,0
CURB_SEG_00209,Street_9,right,40.76273277143747,-74.10516639698055,residential,8am-6pm,9999,2,motorcycle,0
CURB_SEG_00210,Street_10,right,40.69362034432703,-74.14524264040188,residential,weekends,60,2,passenger,0
CURB_SEG_00211,Street_11,right,40.642850178298815,-74.02766272674386,handicapped,24/7,9999,4,handicapped,0
CURB_SEG_00212,Street_12,left,40.82777539035127,-74.04287329114176,no_parking,weekends,30,5,commercial,0
CURB_SEG_00213,Street_13,left,40.81475277841889,-74.0556109411514,time_limited,24/7,60,6,commercial,0
CURB_SEG_00214,Street_14,left,40.67963930997234,-74.03215392026914,time_limited,weekdays,120,3,motorcycle,0
CURB_SEG_00215,Street_15,left,40.62053563450477,-74.05029232403842,meter,9am-9pm,60,0,commercial,0
CURB_SEG_00216,Street_16,right,40.72735162815767,-73.89854648485272,loading_zone,none,120,2,handicapped,0
CURB_SEG_00217,Street_17,left,40.855556444721365,-73.994234563113,time_limited,24/7,240,6,all,0
CURB_SEG_00218,Street_18,left,40.65717544113309,-73.95114174908517,time_limited,none,120,0,truck,0
CURB_SEG_00219,Street_19,right,40.79235315593117,-73.87476355183145,residential,weekdays,120,1,handicapped,0
CURB_SEG_00220,Street_20,right,40.723764820168675,-74.09890385125654,time_limited,weekends,9999,2,all,0
CURB_SEG_00221,Street_21,left,40.56429122293547,-73.92313100106594,loading_zone,none,240,6,motorcycle,0
CURB_SEG_00222,Street_22,right,40.60007937375656,-74.13722060384143,no_parking,24/7,480,4,truck,0
CURB_SEG_00223,Street_23,left,40.73716649806949,-73.88757074238413,no_parking,weekends,120,2,passenger,0
CURB_SEG_00224,Street_24,left,40.610783311519626,-74.05019607979904,residential,8am-6pm,60,0,handicapped,0
CURB_SEG_00225,Street_25,left,40.77607511895798,-73.88638086456372,residential,none,9999,4,passenger,0
CURB_SEG_00226,Street_26,right,40.744863421712665,-73.8714951542955,no_parking,9am-9pm,240,5,all,0
CURB_SEG_00227,Street_27,left,40.74184133663332,-74.00002309041622,handicapped,8am-6pm,240,6,truck,0
CURB_SEG_00228,Street_28,right,40.82442917168089,-73.90380657522105,meter,weekdays,60,1,passenger,0
CURB_SEG_00229,Street_29,right,40.76958654953836,-73.98919805699005,handicapped,9am-9pm,30,5,passenger,0
CURB_SEG_00230,Street_30,left,40.77504202645859,-73.85881116056123,handicapped,weekdays,240,1,truck,0
CURB_SEG_00231,Street_31,left,40.78462521190506,-74.11779594286699,residential,weekdays,9999,1,passenger,0
CURB_SEG_00232,Street_32,left,40.722505152785864,-73.89320151990965,commercial,none,480,1,truck,1
CURB_SEG_00233,Street_33,left,40.7496932771781,-74.13168889090434,commercial,8am-6pm,9999,4,passenger,0
CURB_SEG_00234,Street_34,left,40.65708606267509,-74.13895424674375,loading_zone,24/7,9999,3,handicapped,0
CURB_SEG_00235,Street_35,right,40.6461056349125,-73.97901385632527,meter,weekends,30,5,all,0
CURB_SEG_00236,Street_36,left,40.81467601487385,-74.03243682386471,residential,weekends,240,4,handicapped,0
CURB_SEG_00237,Street_37,left,40.66582611661949,-73.89886057811464,time_limited,24/7,240,3,passenger,0
CURB_SEG_00238,Street_38,right,40.60667342780999,-73.94800340945073,handicapped,9am-9pm,30,6,handicapped,0
CURB_SEG_00239,Street_39,right,40.579395934366964,-73.9630655254299,parking,none,60,6,all,0
CURB_SEG_00240,Street_40,left,40.731629878583746,-74.04356550349878,residential,24/7,240,0,truck,0
CURB_SEG_00241,Street_41,right,40.67160054411872,-74.13683690406457,commercial,weekdays,9999,5,all,0
CURB_SEG_00242,Street_42,right,40.575759212107855,-73.90583652932153,parking,none,60,3,commercial,1
CURB_SEG_00243,Street_43,right,40.83021460155816,-73.8726758716291,commercial,none,60,1,commercial,0
CURB_SEG_00244,Street_44,left,40.686011781093114,-74.07459641638853,loading_zone,weekends,30,5,handicapped,0
CURB_SEG_00245,Street_45,left,40.63400278399,-74.13378455252933,no_parking,24/7,30,6,commercial,0
CURB_SEG_00246,Street_46,right,40.85053802339826,-73.86792159641051,no_parking,24/7,120,4,motorcycle,0
CURB_SEG_00247,Street_47,left,40.71212039781086,-73.85746586679298,meter,none,60,1,handicapped,0
CURB_SEG_00248,Street_48,left,40.69853123127405,-74.09890272476548,commercial,none,60,2,all,0
CURB_SEG_00249,Street_49,left,40.621451610121206,-73.99207665133392,commercial,weekdays,240,0,truck,0
CURB_SEG_00250,Street_50,right,40.68259189209211,-74.06405001600838,loading_zone,8am-6pm,480,6,all,0
CURB_SEG_00251,Street_51,right,40.65977897174842,-74.09657441192911,meter,9am-9pm,240,1,motorcycle,0
CURB_SEG_00252,Street_52,right,40.61867207816178,-73.8976376885564,time_limited,weekdays,480,0,all,0
CURB_SEG_00253,Street_53,right,40.71107395423628,-74.04866302196804,commercial,8am-6pm,240,0,truck,0
CURB_SEG_00254,Street_54,right,40.57997395381226,-74.0489727080324,handicapped,8am-6pm,60,5,handicapped,0
CURB_SEG_00255,Street_55,right,40.85170996775711,-74.12762696045513,handicapped,weekends,240,0,all,0
